unit,tra_meas,tra_cov,schedule,geography,date,value
PAS,PAS_CRD,TOTAL,TOT,AT,2009,21817267.0
PAS,PAS_CRD,TOTAL,TOT,BE,2009,21316690.0
PAS,PAS_CRD,TOTAL,TOT,BG,2009,5840825.0
PAS,PAS_CRD,TOTAL,TOT,CH,2009,35928169.0
PAS,PAS_CRD,TOTAL,TOT,CY,2009,6729787.0
PAS,PAS_CRD,TOTAL,TOT,CZ,2009,12367467.0
PAS,PAS_CRD,TOTAL,TOT,DE,2009,158148829.0
PAS,PAS_CRD,TOTAL,TOT,DK,2009,22277524.0
PAS,PAS_CRD,TOTAL,TOT,EE,2009,1341294.0
PAS,PAS_CRD,TOTAL,TOT,EL,2009,33440269.0
PAS,PAS_CRD,TOTAL,TOT,ES,2009,148318298.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2007,2009,751855594.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2020,2009,663793636.0
PAS,PAS_CRD,TOTAL,TOT,EU28,2009,753231320.0
PAS,PAS_CRD,TOTAL,TOT,FI,2009,13828812.0
PAS,PAS_CRD,TOTAL,TOT,FR,2009,117636389.0
PAS,PAS_CRD,TOTAL,TOT,HR,2009,4335208.0
PAS,PAS_CRD,TOTAL,TOT,HU,2009,8081067.0
PAS,PAS_CRD,TOTAL,TOT,IE,2009,26268887.0
PAS,PAS_CRD,TOTAL,TOT,IS,2009,1837165.0
PAS,PAS_CRD,TOTAL,TOT,IT,2009,101823772.0
PAS,PAS_CRD,TOTAL,TOT,LT,2009,1867191.0
PAS,PAS_CRD,TOTAL,TOT,LU,2009,1535261.0
PAS,PAS_CRD,TOTAL,TOT,LV,2009,4062704.0
PAS,PAS_CRD,TOTAL,TOT,ME,2009,
PAS,PAS_CRD,TOTAL,TOT,MK,2009,
PAS,PAS_CRD,TOTAL,TOT,MT,2009,2918676.0
PAS,PAS_CRD,TOTAL,TOT,NL,2009,46479327.0
PAS,PAS_CRD,TOTAL,TOT,NO,2009,27675619.0
PAS,PAS_CRD,TOTAL,TOT,PL,2009,17046899.0
PAS,PAS_CRD,TOTAL,TOT,PT,2009,24116313.0
PAS,PAS_CRD,TOTAL,TOT,RO,2009,7984057.0
PAS,PAS_CRD,TOTAL,TOT,RS,2009,
PAS,PAS_CRD,TOTAL,TOT,SE,2009,25218784.0
PAS,PAS_CRD,TOTAL,TOT,SI,2009,1423391.0
PAS,PAS_CRD,TOTAL,TOT,SK,2009,1948361.0
